"filename", "language", "TypeScript", "CSS", "JSON", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\quickbars\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\save\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\searchreplace\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\table\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\template\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\visualblocks\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\visualchars\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\plugins\wordcount\plugin.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\content\dark\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\content\default\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\content\document\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\content\tinymce-5-dark\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\content\tinymce-5\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\content\writer\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide-dark\skin.shadowdom.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\oxide\skin.shadowdom.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5-dark\content.inline.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5-dark\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5-dark\skin.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5-dark\skin.shadowdom.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5\content.inline.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5\content.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5\skin.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\skins\ui\tinymce-5\skin.shadowdom.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\themes\silver\theme.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\tinymce.d.ts", "TypeScript", -3116, 0, 0, 0, 0, 0, 0, 0, -1, -3117
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\common\tinymce\js\tinymce\tinymce.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
