"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\c\user-activities\user-activities.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\c\user-activities\user-activities.component.ts", "TypeScript", 351, 0, 0, 0, 0, 0, 0, 52, 12, 415
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\c\users\users.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\c\users\users.component.html", "HTML", 0, 212, 0, 0, 0, 0, 0, 55, 13, 280
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\c\users\users.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\c\users\users.component.ts", "TypeScript", 1103, 0, 0, 0, 0, 0, 0, 209, 19, 1331
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\guards\first-time.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\guards\first-time.guard.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\admin_check_email_exist_payload.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\change_password_payload.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\datatables-response.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\functionality_payload.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\logs_payload.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 13, 2, 30
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\register_actor_payload.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\roles_payload.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\user_activity_payload.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\payloads\user_payload.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\services\admin.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\services\admin.service.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 0, 2, 24, 167
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Admin\validators\phone_number_validator.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 6, 4, 26
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-account-remark\send-account-remark.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-account-remark\send-account-remark.component.html", "HTML", 0, 106, 0, 0, 0, 0, 0, 0, 12, 118
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-account-remark\send-account-remark.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-account-remark\send-account-remark.component.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 6, 17, 210
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-currency-remark\send-currency-remark.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-currency-remark\send-currency-remark.component.html", "HTML", 0, 106, 0, 0, 0, 0, 0, 0, 7, 113
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-currency-remark\send-currency-remark.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\send-currency-remark\send-currency-remark.component.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 6, 18, 211
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-account-remark\view-account-remark.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-account-remark\view-account-remark.component.html", "HTML", 0, 111, 0, 0, 0, 0, 0, 0, 7, 118
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-account-remark\view-account-remark.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-account-remark\view-account-remark.component.ts", "TypeScript", 453, 0, 0, 0, 0, 0, 0, 27, 53, 533
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-currency-remark\view-currency-remark.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-currency-remark\view-currency-remark.component.html", "HTML", 0, 111, 0, 0, 0, 0, 0, 0, 9, 120
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-currency-remark\view-currency-remark.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\remark\view-currency-remark\view-currency-remark.component.ts", "TypeScript", 455, 0, 0, 0, 0, 0, 0, 25, 54, 534
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\account-requests\account-requests.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\account-requests\account-requests.component.html", "HTML", 0, 111, 0, 0, 0, 0, 0, 0, 5, 116
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\account-requests\account-requests.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\account-requests\account-requests.component.ts", "TypeScript", 741, 0, 0, 0, 0, 0, 0, 42, 56, 839
